model,key,image,category,word_P,word_R,word_F1,char_sim,vl_tables,model_tables,table_recall
PP-OCRv6_small,ocrv6_small,report_11.jpg,report,0.9277566539923955,0.9348659003831418,0.9312977099236642,0.2929120409906063,2,0,0.0
PP-OCRv6_small,ocrv6_small,report_12.jpg,report,0.7581967213114754,0.9946236559139785,0.8604651162790699,0.8152444076222038,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_13.jpg,report,0.6666666666666666,0.5,0.5714285714285715,0.9079754601226994,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_14.jpg,report,0.974025974025974,0.9868421052631579,0.9803921568627451,0.971540726202159,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_15.jpg,report,0.9634146341463414,0.797979797979798,0.8729281767955802,0.7891513560804899,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_16.jpg,report,0.5704697986577181,1.0,0.7264957264957265,0.5905797101449275,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_17.jpg,report,0.7941176470588235,0.8181818181818182,0.8059701492537314,0.5806896551724138,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_18.jpg,report,0.9557291666666666,0.9557291666666666,0.9557291666666666,0.9604601006470166,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_19.jpg,report,1.0,1.0,1.0,1.0,1,0,0.0
PP-OCRv6_small,ocrv6_small,report_20.jpg,report,0.8910891089108911,1.0,0.9424083769633509,0.943246810382754,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_01.jpg,agenda,0.8863636363636364,0.975,0.9285714285714285,0.9523809523809523,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_02.jpg,agenda,0.8888888888888888,1.0,0.9411764705882353,0.940983606557377,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_03.jpg,agenda,0.75,0.75,0.75,0.9252525252525252,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_04.jpg,agenda,0.9259259259259259,1.0,0.9615384615384615,0.9549071618037135,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_05.jpg,agenda,1.0,1.0,1.0,1.0,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_06.jpg,agenda,0.5789473684210527,1.0,0.7333333333333334,0.6723044397463002,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_07.jpg,agenda,1.0,0.9893617021276596,0.9946524064171123,0.8716094032549728,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_08.jpg,agenda,0.9770114942528736,0.9770114942528736,0.9770114942528736,0.9437185929648241,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_09.jpg,agenda,0.9461077844311377,1.0,0.9723076923076923,0.9712493465760585,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_10.jpg,agenda,0.9523809523809523,0.9090909090909091,0.9302325581395349,0.9401197604790419,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_11.jpg,agenda,0.5483870967741935,1.0,0.7083333333333333,0.7159763313609467,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_12.jpg,agenda,0.984375,0.984375,0.984375,0.9973262032085561,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_13.jpg,agenda,0.9113924050632911,0.96,0.935064935064935,0.8402366863905325,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_14.jpg,agenda,0.9495798319327731,1.0,0.9741379310344828,0.7903225806451613,3,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_15.jpg,agenda,0.9508196721311475,1.0,0.9747899159663865,0.9696541990119972,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_16.jpg,agenda,0.868421052631579,0.8148148148148148,0.8407643312101911,0.9327902240325866,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_17.jpg,agenda,1.0,1.0,1.0,0.8385964912280702,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_18.jpg,agenda,0.8833333333333333,0.828125,0.8548387096774193,0.3577430972388956,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_19.jpg,agenda,0.56,1.0,0.717948717948718,0.5788113695090439,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_20.jpg,agenda,0.993421052631579,0.9263803680981595,0.9587301587301588,0.7908745247148289,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,agenda_21.jpg,agenda,1.0,1.0,1.0,0.8843338213762811,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_22.jpg,agenda,0.8782608695652174,0.9017857142857143,0.8898678414096917,0.9243134628265238,0,0,
PP-OCRv6_medium,ocrv6_medium,agenda_23.jpg,agenda,0.9795918367346939,1.0,0.9896907216494846,0.9897794513179129,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_01.jpg,form,0.9198473282442748,0.8515901060070671,0.8844036697247706,0.5023449713392392,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_02.jpg,form,0.031746031746031744,1.0,0.06153846153846154,0.09169054441260745,0,0,
PP-OCRv6_medium,ocrv6_medium,form_03.jpg,form,0.9397590361445783,0.7918781725888325,0.859504132231405,0.35750577367205544,0,0,
PP-OCRv6_medium,ocrv6_medium,form_04.jpg,form,0.9612403100775194,0.9253731343283582,0.9429657794676807,0.4982248520710059,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_05.jpg,form,0.9035532994923858,0.9104859335038363,0.9070063694267516,0.20488606035721618,0,0,
PP-OCRv6_medium,ocrv6_medium,form_06.jpg,form,0.016129032258064516,1.0,0.031746031746031744,0.030362389813907934,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_07.jpg,form,0.9516129032258065,0.8309859154929577,0.887218045112782,0.9346180316586373,0,0,
PP-OCRv6_medium,ocrv6_medium,form_08.jpg,form,0.8580931263858093,0.8795454545454545,0.8686868686868686,0.3187265917602996,1,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_09.jpg,form,0.9455445544554455,0.9695431472081218,0.9573934837092731,0.47549019607843135,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_10.jpg,form,0.8732876712328768,0.9306569343065694,0.9010600706713782,0.7382297551789078,4,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_11.jpg,form,0.6186046511627907,0.9366197183098591,0.7450980392156863,0.43783303730017764,2,0,0.0
PP-OCRv6_medium,ocrv6_medium,form_12.jpg,form,0.6898395721925134,0.9555555555555556,0.8012422360248447,0.4911392405063291,1,0,0.0
